Continent,Country,MonthYear,Year,Month,Avg_Population_Density,Avg_Fertility_Rate,Avg_GDP_PPP,Avg_Corruption,Avg_Government_Effectiveness,Avg_Political_Stability,Avg_Rule_of_Law,Avg_Government_Healthcare_Spend,Avg_Urban_Population,Avg_Smoking_Prevalence,Avg_Tourism,Avg_Women_In_Parliament,Avg_Obesity_Rate,Demographics_Recorded_Year,Avg_Diabetes Prevelance % of Population 20-79,Avg_Labour Force Total,Avg_Population,Avg_Population Aged 65 and above % of Total,Avg_Urban Population,Avg_Death Rate Per 1000 (2017),"Avg_PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) (2017)","Avg_PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) (2017)"
Africa,Sao Tome and Principe,Aug-2020,2020,8,228,4.22,3090,0.1838712,-0.6393903,0.5335671,-0.6863676,0.4560299,,,33400,0.1454546,0.124,2019,2.4,71899,215056,2.960159214,158277,4.908,28.53958436,100
Africa,Sao Tome and Principe,Sep-2020,2020,9,228,4.22,3090,0.1838712,-0.6393903,0.5335671,-0.6863676,0.4560299,,,33400,0.1454546,0.124,2019,2.4,71899,215056,2.960159214,158277,4.908,28.53958436,100
Africa,Sao Tome and Principe,Oct-2020,2020,10,228,4.22,3090,0.1838712,-0.6393903,0.5335671,-0.6863676,0.4560299,,,33400,0.1454546,0.124,2019,2.4,71899,215056,2.960159214,158277,4.908,28.53958436,100
Africa,Senegal,Mar-2020,2020,3,87,4.49,3590,-0.0247014,-0.2678156,-0.0886327,-0.2080795,0.2097863,0.188,0.08199999,,0.4181818,0.088,2019,2.4,4255475,16296364,3.098476445,7765706,5.845,40.6958259,100
Africa,Senegal,Apr-2020,2020,4,87,4.49,3590,-0.0247014,-0.2678156,-0.0886327,-0.2080795,0.2097863,0.188,0.08199999,,0.4181818,0.088,2019,2.4,4255475,16296364,3.098476445,7765706,5.845,40.6958259,100
Africa,Senegal,May-2020,2020,5,87,4.49,3590,-0.0247014,-0.2678156,-8.86326999999999e-02,-0.2080795,0.2097863,0.188,0.08199999,,0.4181818,0.088,2019,2.4,4255475,16296364,3.098476445,7765706,5.845,40.6958259,100
Africa,Senegal,Jun-2020,2020,6,87,4.49,3590,-0.0247014,-0.2678156,-0.0886327,-0.2080795,0.2097863,0.188,0.08199999,,0.4181818,0.088,2019,2.4,4255475,16296364,3.098476445,7765706,5.845,40.6958259,100
Africa,Senegal,Jul-2020,2020,7,87,4.49,3590,-0.0247014,-0.2678156,-8.86326999999999e-02,-0.2080795,0.2097863,0.188,0.08199999,,0.4181818,0.088,2019,2.4,4255475,16296364,3.098476445,7765706,5.845,40.6958259,100
Africa,Senegal,Aug-2020,2020,8,87,4.49,3590,-0.0247014,-0.2678156,-8.86326999999999e-02,-0.2080795,0.2097863,0.188,0.08199999,,0.4181818,0.088,2019,2.4,4255475,16296364,3.098476445,7765706,5.845,40.6958259,100
Africa,Senegal,Sep-2020,2020,9,87,4.49,3590,-0.0247014,-0.2678156,-0.0886327,-0.2080795,0.2097863,0.188,0.08199999,,0.4181818,0.088,2019,2.4,4255475,16296364,3.098476445,7765706,5.845,40.6958259,100
